-88,-88.129,-50.5,27,0.0,6.440876160055652
-88,-88.167,-42,23,0.0,6.439548464373475
-88,-88.205,-35,22,0.0,6.438220979395444
-88,-88.243,-26.5,22,0.0,6.436893235493374
-88,-88.28,-19,20,0.0,6.435600531566905
-88,-88.318,-12.5,19,0.0,6.434273055841881
-88,-88.356,-5,20,0.0,6.432945401294343
-88,-88.394,2.5,18,0.0,6.431617725245256
-88,-88.431,9,19,0.0,6.430325093738689
-88,-88.469,16.5,20,0.0,6.428997376963385
-88,-88.507,22,18,0.0,6.427669953900792
-88,-88.545,29,19,0.0,6.426342276543607
-88,-88.583,35.5,19,0.0,6.425014658955328
-88.001,-88.62,42.5,14,0.0,6.423701844096347
-88.001,-88.658,45,8,0.0,6.422375481576444
-88.001,-88.696,46,16,0.0,6.421049337312005
-88.001,-88.734,56.5,23,0.0,6.419721687717738
-88.001,-88.771,62.5,18,0.0,6.41842962321445
-88.001,-88.809,67.5,15,0.0,6.41710280528623
-88.001,-88.847,72,14,0.0,6.415776051185429
-88.001,-88.885,77,14,0.0,6.414449204751078
-88.001,-88.923,82,14,0.0,6.413122344937615
-88.001,-88.96,86,14,0.0,6.411830526307721
-88.001,-88.998,90,11,0.0,6.410503798543852
-88.001,-89.036,91.5,12,0.0,6.409177450998954
-88.001,-89.074,98,13,0.0,6.407850308662141
-88.001,-89.112,101,12,0.0,6.406523704456302
-88.001,-89.149,104.5,14,0.0,6.405231910624861
-88.001,-89.187,109.5,16,0.0,6.403904973951072
-88.001,-89.225,114.5,15,0.0,6.402578028529118
-88.001,-89.263,119,17,0.0,6.401251153315774
-88.001,-89.301,124,16,0.0,6.39992419214579
-88.001,-89.338,129.5,14,0.0,6.398632045276197
-88.001,-89.376,134,14,0.0,6.397305149224594
-88.001,-89.414,139,14,0.0,6.395978168948522
-88.001,-89.452,143.5,13,0.0,6.394651261780172
-88.001,-89.49,147,15,0.0,6.393324506678054
-88.001,-89.527,153.5,17,0.0,6.392032177548505
-88.001,-89.565,158.5,16,0.0,6.390705179784553
-88.001,-89.603,163.5,17,0.0,6.389378179068682
-88.001,-89.641,169,16,0.0,6.388051097607554
-88.001,-89.679,173,15,0.0,6.386724249488083
-88.001,-89.716,177,15,0.0,6.385432300763127
-88.001,-89.754,180,16,0.0,6.38410560758206
-88.001,-89.792,183.5,17,0.0,6.382778835971847
-88.001,-89.83,186,18,0.0,6.381452221645497
-88.001,-89.868,190.5,19,0.0,6.380125294923774
-88.001,-89.905,195.5,20,0.0,6.378833192009092
-88.001,-89.943,200.5,20,0.0,6.377506190813649
-88.001,-89.981,205.5,21,0.0,6.376179192462169
-88.001,-90.019,212,22,0.0,6.374851962403437
-88.001,-90.057,216.5,24,0.0,6.3735250498653055
-88.001,-90.095,225.5,23,0.0,6.3721974365143685
-88.001,-90.132,229.5,22,0.0,6.37090551197951
-88.001,-90.17,235,21,0.0,6.369578458047794
-88.001,-90.208,238.5,21,0.0,6.3682517239556224
-88.001,-90.246,241.5,26,0.0,6.366925075150586
-88.001,-90.284,248.5,32,0.0,6.365597806802137
-88.001,-90.321,256,31,0.0,6.364305367061749
-88.001,-90.359,262,26,0.0,6.362978271960698
-88.001,-90.397,267.5,23,0.0,6.361651264460532
-88.001,-90.435,273,23,0.0,6.360324266764307
-88.001,-90.473,279,22,0.0,6.358997201074291
-88.001,-90.51,284.5,22,0.0,6.357705122328845
-88.001,-90.548,289.5,23,0.0,6.3563782356085445
-88.001,-90.586,295,25,0.0,6.3550512826264764
-88.001,-90.624,302,23,0.0,6.353724107202478
-88.001,-90.662,307,20,0.0,6.35239725858589
-88.001,-90.699,312,19,0.0,6.351105319730524
-88.001,-90.737,318,11,0.0,6.3497783422784675
-88.001,-90.775,317,8,0.0,6.348452477186993
-88.001,-90.813,323,17,0.0,6.347125530350741
-88.001,-90.851,327.5,18,0.0,6.34579883484126
-88.001,-90.888,329,19,0.0,6.344507520204463
-88.001,-90.926,331,19,0.0,6.343181250254961
-88.001,-90.964,334.5,17,0.0,6.341854763072332
-88.001,-91.002,336.5,16,0.0,6.340528529534967
-88.001,-91.04,340,17,0.0,6.33920207992806
-88.001,-91.077,342,17,0.0,6.3379107764876474
-88.001,-91.115,344.5,18,0.0,6.336584523012715
-88.001,-91.153,348.5,18,0.0,6.335258055197824
-88.001,-91.191,351,18,0.0,6.333931843927056
-88.001,-91.229,353,19,0.0,6.332605733016223
-88.001,-91.266,354.5,18,0.0,6.331314611565186
-88.001,-91.304,357.5,18,0.0,6.329988388968364
-88.001,-91.342,356,19,0.0,6.32866289554061
-88.001,-91.38,359,20,0.0,6.327336720941596
-88,-91.417,361.5,20,0.0,6.32601674080955
-88,-91.455,364,18,0.0,6.324690031435152
-88,-91.493,364,17,0.0,6.323363740023698
-88,-91.531,363.5,19,0.0,6.322037553617956
-88,-91.569,363.5,19,0.0,6.320711316029276
-88,-91.606,362.5,16,0.0,6.319420162894708
-88,-91.644,362,14,0.0,6.318094059090969
-88,-91.682,363,16,0.0,6.316767749062816
-88,-91.72,360,20,0.0,6.315442095643519
-88,-91.757,357.5,23,0.0,6.3141512907493675
-88,-91.795,355.5,24,0.0,6.312825540526317
-88,-91.833,352.5,29,0.0,6.311499978327662
-88,-91.871,347.5,29,0.0,6.310174761511596
-88,-87.222,-94,7,0.0,6.4725324464841565
-88,-87.259,-97,7,0.0,6.471242193440667
-88,-87.297,-99,8,0.0,6.469916861447717
-88,-87.335,-101,13,0.0,6.468591491717318
-88,-87.373,-108.5,17,0.0,6.467266946839642
